countrycode,country,continent,currency_unit,gdp_pc_1980,gdp_pc_2000,gdp_pc_2019,pop_1980,pop_2000,pop_2019,emp_1980,emp_2000,emp_2019,avh_1980,avh_2000,avh_2019
ARG,Argentina,South America,Argentine Peso,4492,14332,21827,27.896528,36.870787,44.780677,9.8285723,13.598359,20.643215,1974,1862,1609
AUS,Australia,Oceania,Australian Dollar,24693,39332,54147,14.588405,18.991431,25.203198,6.2775145,8.902647,12.863174,1910,1847,1727
AUT,Austria,Europe,Euro,20080,38037,53345,7.609752,8.069276,8.955102,3.5117297,3.759931,4.550281,1881,1798,1611
BEL,Belgium,Europe,Euro,23807,33739,44840,9.868995,10.282033,11.539328,3.7847753,4.121243,4.921937,1699,1589,1586
BGD,Bangladesh,Asia,Taka,1333,1520,4658,79.639491,127.657854,163.046161,24.0773029,41.539543,65.534065,2519,2561,2419
BRA,Brazil,South America,Brazilian Real,5877,9460,14594,120.694009,174.79034,211.049527,43.3106003,68.130455,93.956825,1985,1838,1708
CAN,Canada,North America,Canadian Dollar,28174,41999,49884,24.416886,30.588383,37.411047,11.0806904,14.952766,19.298662,1827,1786,1689
CHE,Switzerland,Europe,Swiss Franc,35279,47393,75299,6.283832,7.143761,8.591365,3.2118175,3.928282,5.011205,1822,1713,1557
CHL,Chile,South America,Chilean Peso,7306,11694,23253,11.419348,15.342353,18.952038,3.1619225,5.536605,8.100072,2318,2263,1914
CHN,China,Asia,Yuan Renminbi,1678,4200,14129,1000.089235,1290.550765,1433.783686,484.6688538,735.723145,798.807739,1971,2090,2169
COL,Colombia,South America,Colombian Peso,7803,7761,14058,26.900506,39.629968,50.339443,7.7811642,14.237123,21.199608,2074,1956,1968
DEU,Germany,Europe,Euro,22038,37290,51191,78.2831,81.400882,83.517045,38.7049713,39.603115,44.795197,1757,1466,1386
DNK,Denmark,Europe,Danish Krone,23980,37404,54027,5.123945,5.341194,5.771876,2.5156908,2.755956,2.971837,1577,1466,1381
ESP,Spain,Europe,Euro,16096,28208,40366,37.698196,40.824754,46.736776,12.7240038,16.605742,19.872013,1918,1753,1686
FIN,Finland,Europe,Euro,21287,35950,44929,4.788243,5.187954,5.532156,2.3643999,2.305018,2.673705,1790,1705,1591
FRA,France,Europe,Euro,24980,34969,43755,55.161527,60.874357,67.351247,22.6621704,25.625225,28.532564,1806,1558,1505
GBR,United Kingdom,Europe,Pound Sterling,22179,35218,44275,56.209171,58.923309,67.530172,25.0395527,27.380348,32.982498,1785,1693,1668
GRC,Greece,Europe,Euro,15781,25357,27201,9.627002,11.082104,10.473455,3.6243305,4.452403,4.235073,2112,2108,2036
HKG,Hong Kong,Asia,Hong Kong Dollar,19482,44197,54810,4.868742,6.606327,7.436154,2.2539461,3.202622,3.863810,2477,2331,2148
HUN,Hungary,Europe,Forint,11746,16554,29236,10.754286,10.220507,9.684679,5.4381642,4.120502,4.711577,2131,1932,1725
IDN,Indonesia,Asia,Rupiah,2408,3754,11595,148.047741,211.513823,270.625568,45.5106163,91.548515,131.170685,2006,1979,2020
